idx psi rho log_likelihood
652 1.71 0.7775 -3882.949
653 2.03 0.8075 -357304.44
654 4.4 0.8225 -512990.53
655 1.6 0.8225 -512990.53
656 1.71 0.7775 -3882.949
657 2.03 0.8075 -357304.44
658 4.4 0.8225 -512990.53
659 1.6 0.8225 -512990.53
660 1.71 0.7775 -3882.949
661 2.03 0.8075 -357304.44
662 4.4 0.8225 -512990.53
663 1.6 0.8225 -512990.53
664 1.71 0.7775 -3882.949
665 2.03 0.8075 -357304.44
666 4.4 0.8225 -512990.53
667 1.6 0.8225 -512990.53
668 1.71 0.7775 -3882.949
669 2.03 0.8075 -357304.44
670 4.4 0.8225 -512990.53
671 1.6 0.8225 -512990.53
672 1.71 0.7775 -3882.949
673 2.03 0.8075 -357304.44
674 4.4 0.8225 -512990.53
675 1.6 0.8225 -512990.53
676 1.71 0.7775 -3882.949
677 2.03 0.8075 -357304.44
678 4.4 0.8225 -512990.53
679 1.6 0.8225 -512990.53
680 1.71 0.7775 -3882.949
681 2.03 0.8075 -357304.44
682 4.4 0.8225 -512990.53
683 1.6 0.8225 -512990.53
684 1.71 0.7775 -3882.949
685 2.03 0.8075 -357304.44
686 4.4 0.8225 -512990.53
687 1.6 0.8225 -512990.53
688 1.71 0.7775 -3882.949
689 2.03 0.8075 -357304.44
690 4.4 0.8225 -512990.53
691 1.6 0.8225 -512990.53
692 1.71 0.7775 -3882.949
693 2.03 0.8075 -357304.44
694 4.4 0.8225 -512990.53
695 1.6 0.8225 -512990.53
696 1.71 0.7775 -3882.949
697 2.03 0.8075 -357304.44
698 4.4 0.8225 -512990.53
699 1.6 0.8225 -512990.53
700 1.71 0.7775 -3882.949
701 2.03 0.8075 -357304.44
702 4.4 0.8225 -512990.53
703 1.6 0.8225 -512990.53
704 1.71 0.7775 -3882.949
705 2.03 0.8075 -357304.44
706 4.4 0.8225 -512990.53
707 1.6 0.8225 -512990.53
708 1.71 0.7775 -3882.949
709 2.03 0.8075 -357304.44
710 4.4 0.8225 -512990.53
711 1.6 0.8225 -512990.53
712 1.71 0.7775 -3882.949
713 2.03 0.8075 -357304.44
714 4.4 0.8225 -512990.53
715 1.6 0.8225 -512990.53
716 1.71 0.7775 -3882.949
717 2.03 0.8075 -357304.44
718 4.4 0.8225 -512990.53
719 1.6 0.8225 -512990.53
720 1.71 0.7775 -3882.949
721 2.03 0.8075 -357304.44
722 4.4 0.8225 -512990.53
723 1.6 0.8225 -512990.53
724 1.71 0.7775 -3882.949
725 2.03 0.8075 -357304.44
726 4.4 0.8225 -512990.53
727 1.6 0.8225 -512990.53
728 1.71 0.7775 -3882.949
729 2.03 0.8075 -357304.44
730 4.4 0.8225 -512990.53
731 1.6 0.8225 -512990.53
732 1.71 0.7775 -3882.949
733 2.03 0.8075 -357304.44
734 4.4 0.8225 -512990.53
735 1.6 0.8225 -512990.53
736 1.71 0.7775 -3882.949
737 2.03 0.8075 -357304.44
738 4.4 0.8225 -512990.53
739 1.6 0.8225 -512990.53
740 1.71 0.7775 -3882.949
741 2.03 0.8075 -357304.44
742 4.4 0.8225 -512990.53
743 1.6 0.8225 -512990.53
744 1.71 0.7775 -3882.949
745 2.03 0.8075 -357304.44
746 4.4 0.8225 -512990.53
747 1.6 0.8225 -512990.53
748 1.71 0.7775 -3882.949
749 2.03 0.8075 -357304.44
750 4.4 0.8225 -512990.53
751 1.6 0.8225 -512990.53
752 1.71 0.7775 -3882.949
753 2.03 0.8075 -357304.44
754 4.4 0.8225 -512990.53
755 1.6 0.8225 -512990.53
756 1.71 0.7775 -3882.949
757 2.03 0.8075 -357304.44
758 4.4 0.8225 -512990.53
759 1.6 0.8225 -512990.53
760 1.71 0.7775 -3882.949
761 2.03 0.8075 -357304.44
762 4.4 0.8225 -512990.53
763 1.6 0.8225 -512990.53
764 1.71 0.7775 -3882.949
765 2.03 0.8075 -357304.44
766 4.4 0.8225 -512990.53
767 1.6 0.8225 -512990.53
768 1.71 0.7775 -3882.949
769 2.03 0.8075 -357304.44
770 4.4 0.8225 -512990.53
771 1.6 0.8225 -512990.53
772 1.71 0.7775 -3882.949
773 2.03 0.8075 -357304.44
774 4.4 0.8225 -512990.53
775 1.6 0.8225 -512990.53
776 1.71 0.7775 -3882.949
777 2.03 0.8075 -357304.44
778 4.4 0.8225 -512990.53
779 1.6 0.8225 -512990.53
780 1.71 0.7775 -3882.949
781 2.03 0.8075 -357304.44
782 4.4 0.8225 -512990.53
783 1.6 0.8225 -512990.53
784 1.71 0.7775 -3882.949
785 2.03 0.8075 -357304.44
786 4.4 0.8225 -512990.53
787 1.6 0.8225 -512990.53
788 1.71 0.7775 -3882.949
789 2.03 0.8075 -357304.44
790 4.4 0.8225 -512990.53
791 1.6 0.8225 -512990.53
792 1.71 0.7775 -3882.949
793 2.03 0.8075 -357304.44
794 4.4 0.8225 -512990.53
795 1.6 0.8225 -512990.53
796 1.71 0.7775 -3882.949
797 2.03 0.8075 -357304.44
798 4.4 0.8225 -512990.53
799 1.6 0.8225 -512990.53
